,temp_air,wind_speed,ghi,dni,dhi,total_clouds,low_clouds,mid_clouds,high_clouds
2022-03-15 01:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-15 04:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-15 07:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-15 10:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-15 13:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-15 16:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-15 19:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-15 22:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-16 01:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-16 04:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-16 07:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-16 10:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-16 13:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-16 16:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-16 19:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-16 22:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-17 01:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-17 04:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-17 07:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-17 10:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-17 13:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-17 16:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-17 19:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-17 22:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-18 01:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-18 04:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-18 07:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-18 10:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-18 13:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-18 16:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-18 19:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-18 22:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-19 01:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-19 04:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-19 07:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-19 10:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-19 13:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-19 16:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-19 19:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-19 22:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-20 01:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-20 04:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-20 07:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-20 10:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-20 13:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-20 16:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-20 19:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-20 22:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-21 01:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-21 04:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-21 07:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-21 10:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-21 13:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-21 16:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-21 19:00:00-05:00,0,0,0,0,0,0,0,0,0
2022-03-21 22:00:00-05:00,0,0,0,0,0,0,0,0,0
