name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
London,2021-03-11T00:00:00,11.6,11.6,8.4,80.23,0.41,,,,,57.2,32.5,220,994.5,0.5,13.4,,,,,Rain,rain,"368,009,999,903,672,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2021-03-11T01:00:00,11.6,11.6,8.4,80.24,0,,,,,57.6,34.6,217,992.8,0.4,6.6,,,,,Clear,wind,"368,009,999,903,672,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2021-03-11T02:00:00,11.6,11.6,7.1,73.45,0,,,,,61.1,40.2,234,992.3,0.4,10.6,,,,,Clear,wind,"368,009,999,903,672,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2021-03-11T03:00:00,11.5,11.5,6.6,71.9,0,,,,,66.6,24.5,231,991.1,0.4,11.2,,,,,Clear,clear-night,"368,009,999,903,672,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2021-03-11T04:00:00,11,11,4.7,64.75,0,,,,,68.4,40.4,234,990.4,0.4,9.6,,,,,Clear,wind,"368,009,999,903,672,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2021-03-11T05:00:00,11,11,4.2,62.54,0,,,,,75.4,43,234,990.4,0.5,9.5,,,,,Clear,wind,"368,009,999,903,672,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2021-03-11T06:00:00,10.5,10.5,4.9,67.88,0.02,,,,,78.8,42.6,234,989.9,0.5,10.2,,,,,Rain,rain,"368,009,999,903,672,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2021-03-11T07:00:00,10.5,10.5,4.4,65.53,0,,,,,74.5,45.2,234,990.2,0.5,14.8,17,0.1,0,,Clear,wind,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
London,2021-03-11T08:00:00,10.6,10.6,4.4,65.09,0,,,,,78.5,45.6,244,992,0.5,25.1,67,0.2,1,,Clear,wind,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
London,2021-03-11T09:00:00,11,11,4.4,63.4,0,,,,,74.7,41.3,254,993.7,0.5,19.8,133,0.5,1,,Clear,wind,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
London,2021-03-11T10:00:00,11.1,11.1,5.3,67.48,0,,,,,74.5,44.1,257,994.7,0.3,28.2,284,1,3,,Clear,wind,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
London,2021-03-11T11:00:00,11.6,11.6,3.9,58.85,0,,,,,71.4,45.9,260,995.7,0.3,25,324,1.2,3,,Clear,wind,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
London,2021-03-11T12:00:00,11.5,11.5,3.7,58.41,0,,,,,72.4,38.2,260,996.5,0.2,36.2,435,1.6,4,,Clear,wind,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
London,2021-03-11T13:00:00,12.1,12.1,4,57.73,0,,,,,71.4,39.6,264,997,0.4,26.3,263,0.9,3,,Clear,wind,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
London,2021-03-11T14:00:00,10.1,10.1,3.8,65.37,0,,,,,62,38.3,257,997.3,0.2,29.7,150,0.5,2,,Clear,wind,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
London,2021-03-11T15:00:00,9.6,6.4,1.7,57.54,0,,,,,74.2,25.8,261,998.2,0.4,27.9,132,0.5,1,,Clear,clear-day,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
London,2021-03-11T16:00:00,9.5,5.9,2.4,60.85,0,,,,,61,31.8,248,998.3,0.3,27.8,160,0.6,2,,Clear,wind,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
London,2021-03-11T17:00:00,9,4.9,1.9,60.74,0,,,,,61.6,36.8,248,998.9,0.3,43.1,39,0.1,0,,Clear,wind,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
London,2021-03-11T18:00:00,8.1,4.2,1.2,61.39,0.2,,,,,57.7,30.1,261,999.9,0.4,46.2,14,0.1,0,,Rain,rain,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
London,2021-03-11T19:00:00,7.6,3.5,1.8,66.76,0,,,,,50.8,29.9,261,1001.3,0.4,40.1,,,,,Clear,clear-night,"368,009,999,903,672,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2021-03-11T20:00:00,7,2.7,1.8,69.55,0,,,,,50,30,254,1002.3,0.2,38.1,,,,,Clear,clear-night,"368,009,999,903,672,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2021-03-11T21:00:00,6.1,1.7,1.8,73.96,0,,,,,,28.3,254,1003.4,0.1,36.2,,,,,Clear,clear-night,"368,009,999,903,672,000,000,000,000,000,000,000,000,000,000,000,000,000"
