,temp_air,wind_speed,ghi,dni,dhi,total_clouds,low_clouds,mid_clouds,high_clouds
2022-03-14 00:00:00+00:00,6.2797546,2.3971786,0.0,0.0,0.0,100.0,13.8,84.3,100.0
2022-03-14 03:00:00+00:00,5.492035,3.070847,0.0,0.0,0.0,38.0,5.0,1.9,33.7
2022-03-14 06:00:00+00:00,4.649994,4.5613413,0.0,0.0,0.0,20.7,4.2,0.9,16.9
2022-03-14 09:00:00+00:00,9.058197,3.7716606,296.57394102500217,434.05972462717693,127.81831570456043,4.3,0.0,3.3,1.7
2022-03-14 12:00:00+00:00,13.703857,5.528327,361.95553207127693,153.6527274189107,271.57608445265305,49.2,0.0,43.5,31.0
2022-03-14 15:00:00+00:00,15.004608,4.810259,276.57761897550216,242.37895826670197,173.93840846300395,30.1,1.9,21.4,5.7
2022-03-14 18:00:00+00:00,11.269318,6.441646,0.0019960128584620347,0.0,0.0019960128584620347,54.0,38.3,13.2,4.5
2022-03-14 21:00:00+00:00,8.788666,3.7332163,0.0,0.0,0.0,83.9,8.5,76.1,22.2
2022-03-15 00:00:00+00:00,8.057465,1.7651813,0.0,0.0,0.0,87.8,36.7,81.1,13.7
2022-03-15 03:00:00+00:00,7.111084,2.7740867,0.0,0.0,0.0,100.0,74.5,100.0,0.0
2022-03-15 06:00:00+00:00,5.8500366,4.760963,0.0,0.0,0.0,81.2,47.0,80.6,0.0
2022-03-15 09:00:00+00:00,10.75,3.5745287,284.21992927626616,356.1475849255658,143.59719967042454,13.2,0.0,12.0,0.0
2022-03-15 12:00:00+00:00,15.709747,4.546344,501.4257520275544,494.52017568956836,207.7844995105977,10.3,0.0,6.9,2.4
2022-03-15 15:00:00+00:00,13.704102,5.6593256,121.9647564908299,0.0,121.9647564908299,100.0,39.1,52.3,100.0
2022-03-15 18:00:00+00:00,11.267822,5.9439573,0.0072656381707590124,0.0,0.0072656381707590124,100.0,64.4,35.4,100.0
2022-03-15 21:00:00+00:00,9.581696,7.736463,0.0,0.0,0.0,100.0,2.9,35.4,100.0
2022-03-16 00:00:00+00:00,9.468903,7.1993895,0.0,0.0,0.0,100.0,49.3,56.2,100.0
