,temp_air,wind_speed,ghi,dni,dhi,total_clouds,low_clouds,mid_clouds,high_clouds
2022-03-15 01:00:00-05:00,47.25,3.1147814,873.8206982736837,736.0719015786106,237.88854553230783,0.1,0.0,0.0,0.1
2022-03-15 04:00:00-05:00,47.649994,5.2601132,718.8670804933724,711.6087318009445,192.7241632978189,1.8,0.0,0.0,1.7
2022-03-15 07:00:00-05:00,36.304108,4.372406,90.15148644444048,164.60567296700324,61.80550554054967,2.8,0.0,0.0,2.5
2022-03-15 10:00:00-05:00,27.04953,1.699339,0.0,0.0,0.0,5.6,0.0,0.0,5.0
2022-03-15 13:00:00-05:00,24.273376,0.77494246,0.0,0.0,0.0,6.4,0.0,0.0,5.5
2022-03-15 16:00:00-05:00,24.01831,2.256505,0.0,0.0,0.0,31.5,0.0,0.0,29.9
2022-03-15 19:00:00-05:00,22.01831,1.9902992,0.0,0.0,0.0,26.7,0.0,0.0,25.0
2022-03-15 22:00:00-05:00,34.09616,3.8919191,391.9269413282909,501.6676400202335,152.73789200798072,10.7,0.0,0.0,9.8
2022-03-16 01:00:00-05:00,49.154877,5.0150175,816.4035244951945,562.1388350937616,328.81273417967867,10.7,0.0,0.0,9.8
2022-03-16 04:00:00-05:00,49.450012,6.7601137,640.8048725467787,484.2973035458051,281.4891201830925,18.7,0.0,0.0,17.2
2022-03-16 07:00:00-05:00,38.29065,7.2127485,72.08415539767866,50.4377662398454,63.30028947921255,35.0,0.0,0.0,33.3
2022-03-16 10:00:00-05:00,28.181458,3.3059413,0.0,0.0,0.0,7.5,0.0,0.0,6.6
2022-03-16 13:00:00-05:00,25.850037,2.6413743,0.0,0.0,0.0,6.0,0.0,0.0,5.5
2022-03-16 16:00:00-05:00,23.619843,1.8243897,0.0,0.0,0.0,7.3,0.0,0.0,7.3
2022-03-16 19:00:00-05:00,21.76175,0.8913896,0.0,0.0,0.0,7.1,0.0,0.0,7.0
2022-03-16 22:00:00-05:00,35.79892,0.53210515,377.3533120572246,429.613544138561,170.78659290655236,17.3,0.0,0.0,16.6
2022-03-17 01:00:00-05:00,56.80899,0.9673598,656.0933994731383,250.63094020542698,437.8494348536854,39.2,0.0,0.0,38.5
2022-03-17 04:00:00-05:00,52.39682,2.3022861,256.0321234139471,13.107662297496233,246.27411985016704,100.0,0.0,0.0,100.0
2022-03-17 07:00:00-05:00,38.853912,3.058725,48.210126045184765,0.0,48.210126045184765,75.6,0.0,0.0,74.6
2022-03-17 10:00:00-05:00,29.353912,3.1430142,0.0,0.0,0.0,16.3,0.0,0.0,13.5
2022-03-17 13:00:00-05:00,27.26471,2.6729305,0.0,0.0,0.0,19.5,0.0,0.0,17.4
2022-03-17 16:00:00-05:00,25.450012,3.2842653,0.0,0.0,0.0,64.9,0.0,0.0,63.8
2022-03-17 19:00:00-05:00,23.550018,2.6910782,0.0,0.0,0.0,82.4,0.0,0.0,82.0
2022-03-17 22:00:00-05:00,36.00592,3.731339,258.12052837790003,97.89882535139017,210.6552322049584,61.3,0.0,0.0,59.4
2022-03-18 01:00:00-05:00,51.349976,4.3872523,680.1070487479418,283.1743301391634,432.5752559674686,35.4,0.0,0.0,33.9
2022-03-18 04:00:00-05:00,53.786346,1.9121988,702.9991914040584,635.6780100859802,228.19507292737364,6.4,0.0,0.0,6.4
2022-03-18 07:00:00-05:00,38.350006,1.21032,93.05914556382437,162.4328672865109,64.14874746008397,5.1,0.0,0.0,5.1
2022-03-18 10:00:00-05:00,30.149994,3.5575945,0.0,0.0,0.0,3.0,0.0,0.0,3.0
2022-03-18 13:00:00-05:00,27.679413,3.5868556,0.0,0.0,0.0,4.0,0.0,0.0,4.0
2022-03-18 16:00:00-05:00,25.75,3.3435855,0.0,0.0,0.0,32.9,0.0,0.0,32.6
2022-03-18 19:00:00-05:00,23.554047,1.8184515,0.0,0.0,0.0,37.1,0.0,0.0,36.6
2022-03-18 22:00:00-05:00,37.257294,1.2039671,337.308012101863,272.4914302316488,204.10142467085825,34.0,0.0,0.0,31.5
2022-03-19 01:00:00-05:00,52.86676,2.3986423,603.9872231526335,175.38065816554564,450.1002449300436,49.0,0.0,0.0,47.4
2022-03-19 04:00:00-05:00,58.649994,0.6912356,707.7248905852906,642.2643278939069,226.43915474638533,5.8,0.0,0.0,5.0
2022-03-19 07:00:00-05:00,39.815735,1.8058852,94.07375828189979,162.19984328231627,64.89899468348563,5.7,0.0,0.0,5.0
2022-03-19 10:00:00-05:00,31.950012,3.693661,0.0,0.0,0.0,3.4,0.0,0.0,3.3
2022-03-19 13:00:00-05:00,28.850006,4.0009575,0.0,0.0,0.0,1.7,0.0,0.0,1.7
2022-03-19 16:00:00-05:00,26.355865,2.5551517,0.0,0.0,0.0,2.8,0.0,0.0,2.7
2022-03-19 19:00:00-05:00,24.615723,2.2875915,0.0,0.0,0.0,4.9,0.0,0.0,4.8
2022-03-19 22:00:00-05:00,37.34543,3.205656,428.935677736911,612.657779530563,126.99509257535198,2.8,0.0,0.0,2.8
2022-03-20 01:00:00-05:00,52.450012,4.902221,881.0065483979681,699.5981284322346,264.8585029778569,1.4,0.0,0.0,1.3
2022-03-20 04:00:00-05:00,52.814697,4.58391,737.3350325387748,730.8497015035008,187.92089069651615,0.0,0.0,0.0,0.0
2022-03-20 07:00:00-05:00,39.814697,5.1834254,97.70344355580538,180.1837487186148,64.95756725280881,2.2,0.0,2.1,0.0
2022-03-20 10:00:00-05:00,30.144592,4.034907,0.0,0.0,0.0,4.2,0.0,3.9,0.0
2022-03-20 13:00:00-05:00,28.86676,4.45935,0.0,0.0,0.0,2.2,0.0,2.1,0.0
2022-03-20 16:00:00-05:00,26.596191,3.4644315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-20 19:00:00-05:00,23.879883,3.3169231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-20 22:00:00-05:00,37.24997,5.1791606,430.719884947579,603.3040395967472,130.99292769108627,3.5,0.0,3.3,0.0
2022-03-21 01:00:00-05:00,51.074615,5.0101867,862.3112131471051,631.3571062604674,304.22582589399315,5.1,0.0,4.2,0.7
2022-03-21 04:00:00-05:00,50.21158,7.4306135,706.9738400221245,625.8350952662549,235.0354925620211,6.7,0.0,3.0,3.7
2022-03-21 07:00:00-05:00,38.8273,4.761667,97.46192694130222,171.19025941893446,66.03398269067694,4.7,0.0,1.5,3.2
2022-03-21 10:00:00-05:00,29.650024,4.224412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21 13:00:00-05:00,27.350006,4.36818,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21 16:00:00-05:00,25.75,4.078382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21 19:00:00-05:00,23.450012,3.1610732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21 22:00:00-05:00,36.450012,4.3416724,444.5783127246198,652.334804371063,117.91499473095746,0.0,0.0,0.0,0.0
