name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
London,2022-04-03T00:00:00,4,4,-2.8,60.86,0,0,,0,0,3.6,3,351,1026.7,0,13.9,0,,0,10,Clear,clear-night,"03769099999,03680099999,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T01:00:00,4.1,4.1,-1.9,65.06,0,0,,0,0,1.8,2.5,11,1026.9,0,14.2,0,,0,10,Clear,clear-night,"03769099999,03680099999,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T02:00:00,3.3,3.3,-2.7,64.89,0,0,,0,0,5.4,4.2,347,1027,0,13.6,0,,0,10,Clear,clear-night,"03769099999,03680099999,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T03:00:00,2.5,2.5,-3.2,66.17,0,0,,0,0,1.8,4.8,336,1026.9,0,13.9,0,,0,10,Clear,clear-night,"03769099999,03680099999,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T04:00:00,0.8,0.8,-2.7,77.48,0,0,,0,0,3.6,3.3,322,1026.9,0,13.1,0,,0,10,Clear,clear-night,"03769099999,03680099999,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T05:00:00,0,0,-3.4,77.93,0,0,,0,0,1.8,3.5,339,1026.8,0,12.6,0,,0,10,Clear,clear-night,"03769099999,03680099999,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T06:00:00,0.5,0.5,-2.5,80.36,0,0,,0,0,1.8,4.4,300,1026.9,0,12.8,0,,0,10,Clear,clear-night,"03769099999,03680099999,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T07:00:00,2.1,2.1,0.1,86.64,0,0,,0,0,1.8,3.3,317,1027.1,0,12.1,14,0.1,0,10,Clear,clear-day,"03769099999,03680099999,D5621,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T08:00:00,1.6,1.6,-0.4,86.58,0,0,,0,0,7.6,4.2,303,1027.4,0,13.2,30,0.1,0,10,Clear,clear-day,"03769099999,03680099999,D5621,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T09:00:00,4.6,3,0.8,76.41,0,0,,0,0,9.4,7.2,323,1027.4,0,14.2,309,1.1,3,10,Clear,clear-day,"03769099999,03680099999,D5621,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T10:00:00,6.3,4.7,0.4,65.52,0,0,,0,0,16.6,8.2,321,1027.2,0.1,15.6,522,1.9,5,10,Clear,clear-day,"03769099999,03680099999,D5621,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T11:00:00,6.8,4.7,-1.3,55.92,0,0,,0,0,20.5,11,330,1027,0.2,16.4,123,0.4,1,10,Clear,clear-day,"03769099999,03680099999,D5621,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T12:00:00,7.8,6.2,-2.4,48.16,0,0,,0,0,18.4,9.4,352,1026.6,0.3,16.8,721,2.6,7,10,Clear,clear-day,"03769099999,D5621,03660099999,03672099999,03768099999,03772099999,03770099999"
London,2022-04-03T13:00:00,8.6,6.7,-4.1,40.21,0,0,,0,0,28.1,11.9,319,1026.1,0.3,15.1,197,0.7,2,10,Clear,clear-day,"03680099999,D5621,03660099999,03672099999,03768099999,03772099999,03770099999"
London,2022-04-03T14:00:00,8.8,7,-3.9,40.26,0,0,,0,0,26.6,11.9,317,1025.7,0.3,12.5,216,0.8,2,10,Clear,clear-day,"03680099999,D5621,03660099999,03672099999,03768099999,03772099999,03770099999"
London,2022-04-03T15:00:00,8.9,6.8,-4.4,38.77,0,0,,0,0,14.8,13,311,1025.1,0.1,15.5,53,0.2,1,10,Clear,clear-day,"03769099999,03680099999,D5621,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T16:00:00,9.1,7.2,-4.1,38.86,0,0,rain,0,0,22.3,12.6,312,1024.5,0.1,17.1,185,0.7,2,10,Clear,clear-day,"03769099999,03680099999,D5621,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T17:00:00,8.9,6.8,-3.1,42.74,0,0,,0,0,16.6,12.9,307,1024,0.3,16.4,97,0.3,1,10,Clear,clear-day,"03769099999,03680099999,D5621,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T18:00:00,8.8,7.1,-1.9,47.02,0,0,rain,0,0,11.2,11,296,1023.6,0.3,17.7,74,0.3,1,10,Clear,clear-day,"03769099999,03680099999,D5621,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T19:00:00,8.6,6.7,-1.9,47.67,0,0,,0,0,11.2,11.7,288,1023.2,0.1,16.9,26,0.1,0,10,Clear,clear-day,"03769099999,03680099999,D5621,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T20:00:00,8.1,6.2,-2.4,47.53,0,0,,0,0,7.6,11.2,255,1022.9,0.3,17.7,12,0,0,10,Clear,clear-night,"03769099999,03680099999,D5621,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T21:00:00,7.1,5.2,-2.2,51.65,0,0,,0,0,9.4,10.1,243,1022.8,0.2,15.4,0,,0,10,Clear,clear-night,"03769099999,03680099999,03660099999,03672099999,03772099999,03770099999"
London,2022-04-03T22:00:00,6.3,3.4,-1.7,56.59,0,0,,0,0,9.4,15.3,249,1022.3,0.3,16,0,,0,10,Clear,clear-night,"03769099999,03680099999,03660099999,03672099999,03772099999,03770099999"
