,temp_air,wind_speed,ghi,dni,dhi,total_clouds,low_clouds,mid_clouds,high_clouds
2022-04-03 02:00:00-07:00,9.251434,0.92896074,0.0,0.0,0.0,100.0,0.0,0.0,100.0
2022-04-03 05:00:00-07:00,9.857025,1.422297,0.0,0.0,0.0,100.0,0.0,14.6,100.0
2022-04-03 08:00:00-07:00,14.559143,1.1029207,71.65032149471155,0.0,71.65032149471155,100.0,0.0,67.6,100.0
2022-04-03 11:00:00-07:00,25.771942,2.4200351,274.2415097329415,16.377155393397995,261.87064944243275,100.0,0.0,83.2,100.0
2022-04-03 14:00:00-07:00,29.305908,5.1169543,341.57340752738554,23.917309494360463,321.3424546160407,94.8,0.0,81.2,64.3
2022-04-03 17:00:00-07:00,24.332428,4.6354775,260.86165466699515,119.39465915476801,204.3643147204898,65.4,0.0,44.4,49.4
2022-04-03 20:00:00-07:00,9.7022705,2.2834666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-03 23:00:00-07:00,9.415741,2.3805685,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-04 02:00:00-07:00,8.881439,1.9481483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-04 05:00:00-07:00,7.644348,2.8286176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-04 08:00:00-07:00,12.212891,2.7256572,208.60510578713394,595.9415087518006,54.21792112411035,0.5,0.0,0.0,0.5
2022-04-04 11:00:00-07:00,25.078613,2.9515285,786.004294727399,870.7450485797112,124.9045731221288,0.2,0.0,0.0,0.2
2022-04-04 14:00:00-07:00,27.549988,4.2579894,879.0605037175732,831.9886281556194,172.7948786301639,2.3,0.0,0.0,1.7
2022-04-04 17:00:00-07:00,22.934662,4.732033,451.84124269793875,801.3664554755433,70.52447119199894,1.4,0.0,0.0,1.0
2022-04-04 20:00:00-07:00,12.7786255,2.546799,0.0,0.0,0.0,54.1,0.0,0.0,53.6
2022-04-04 23:00:00-07:00,11.757477,2.7505257,0.0,0.0,0.0,30.2,0.0,0.0,29.7
2022-04-05 02:00:00-07:00,10.207611,2.9821196,0.0,0.0,0.0,1.7,0.0,0.0,1.7
2022-04-05 05:00:00-07:00,8.827606,3.160054,0.0,0.0,0.0,1.7,0.0,0.0,1.7
2022-04-05 08:00:00-07:00,12.645111,3.4340754,206.44800409844842,550.626884977526,61.25098442880673,5.3,0.0,0.0,5.0
2022-04-05 11:00:00-07:00,25.350006,3.179449,763.72193951981,792.3825870461451,159.10164159135581,5.2,0.0,0.0,4.8
2022-04-05 14:00:00-07:00,30.070496,3.2594426,868.0103888282248,789.1953153677499,195.72989518421753,4.6,0.0,0.0,3.7
2022-04-05 17:00:00-07:00,24.350006,3.7300692,443.0061600052015,756.9553430681016,80.84822107428585,5.1,0.0,0.0,4.4
2022-04-05 20:00:00-07:00,12.450012,3.0268223,0.0,0.0,0.0,5.7,0.0,0.0,5.7
2022-04-05 23:00:00-07:00,11.069336,3.572253,0.0,0.0,0.0,4.8,0.0,0.0,4.8
2022-04-06 02:00:00-07:00,9.498138,3.7765398,0.0,0.0,0.0,3.8,0.0,0.0,3.7
2022-04-06 05:00:00-07:00,8.193817,3.6092286,0.0,0.0,0.0,1.9,0.0,0.0,1.9
2022-04-06 08:00:00-07:00,12.480591,3.647811,215.88623929692415,592.0036860607107,57.061762425787464,1.7,0.0,0.0,1.7
2022-04-06 11:00:00-07:00,27.950012,2.9436827,784.4930225117394,843.8138712583118,137.4642618472733,1.8,0.0,0.0,1.7
2022-04-06 14:00:00-07:00,39.803864,0.9820076,887.1510703975401,836.6539298171556,172.002797533484,1.7,0.0,0.0,1.7
2022-04-06 17:00:00-07:00,30.669342,2.3475578,457.97153412696383,805.3861726225356,70.56495533593318,0.8,0.0,0.0,0.8
2022-04-06 20:00:00-07:00,15.861572,2.10647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-06 23:00:00-07:00,14.449982,2.6738026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-07 02:00:00-07:00,13.384766,2.9012372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-07 05:00:00-07:00,12.5963745,2.8040202,0.0,0.0,0.0,2.7,0.0,0.0,2.3
2022-04-07 08:00:00-07:00,18.553833,2.4055681,209.56142044034075,518.7481055321574,68.03188387016945,9.1,0.0,0.0,8.5
2022-04-07 11:00:00-07:00,35.10797,1.8693488,759.2308725367349,750.5657222123244,180.9323792113006,7.3,0.0,0.0,6.8
2022-04-07 14:00:00-07:00,39.54663,1.8741729,860.7212426783873,746.1556878171873,220.79037699598098,6.6,0.0,0.0,5.4
2022-04-07 17:00:00-07:00,31.71109,2.1138806,421.31562762440444,635.8305412658325,113.84610589085895,13.7,0.0,0.0,11.6
2022-04-07 20:00:00-07:00,14.2621155,0.95549166,0.0,0.0,0.0,23.0,0.0,0.0,20.0
2022-04-07 23:00:00-07:00,13.779388,1.2212592,0.0,0.0,0.0,21.6,0.0,0.0,19.7
2022-04-08 02:00:00-07:00,14.4097595,2.6563838,0.0,0.0,0.0,50.8,0.0,0.0,50.3
