name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Melbourne,2022-04-03T00:00:00,14.8,14.8,13.1,89.34,0,0,rain,0,0,28.4,7.9,180,1018.7,5.7,22.7,0,,0,10,Clear,clear-night,"95874099999,95936099999,94865099999,95866099999,94872099999,94870099999"
Melbourne,2022-04-03T01:00:00,14.8,14.8,12.8,87.88,0,0,,0,0,28.4,11.2,170,1018.6,0,24.1,0,,0,10,Clear,clear-night,"94860099999,95936099999,94872099999,94854099999,94864099999,94870099999"
Melbourne,2022-04-03T02:00:00,14.8,14.8,11.9,82.81,0,0,,0,0,29.2,8.2,179,1018.3,0,24.1,0,,0,10,Clear,clear-night,"95874099999,95936099999,94865099999,95866099999,94872099999,94870099999"
Melbourne,2022-04-03T02:00:00,14.6,14.6,11.9,83.75,0,0,,0,0,29.9,6,179,1017.9,0,24.1,0,,0,10,Clear,clear-night,"95874099999,95936099999,94865099999,95866099999,94872099999,94870099999"
Melbourne,2022-04-03T03:00:00,14.6,14.6,11.7,82.86,1.11,100,rain,0,0,32.4,5.9,171,1017.2,5.4,24.1,0,,0,10,Rain,rain,"95874099999,95936099999,94865099999,95866099999,94872099999,94870099999"
Melbourne,2022-04-03T04:00:00,14.8,14.8,10.7,76.55,0,0,,0,0,29.2,9.8,161,1016.6,0,24.1,0,,0,10,Clear,clear-night,"95874099999,95936099999,94865099999,95866099999,94872099999,94870099999"
Melbourne,2022-04-03T05:00:00,14.5,14.5,10.9,79.11,0,0,,0,0,28.1,8,160,1016.4,0,24.1,0,,0,10,Clear,clear-night,"95874099999,95936099999,94865099999,95866099999,94872099999,94870099999"
Melbourne,2022-04-03T06:00:00,14.6,14.6,11.9,83.86,0,0,,0,0,26.6,2.6,188,1016.5,5.4,24.1,0,,0,10,Clear,clear-night,"95874099999,95936099999,94865099999,95866099999,94872099999,94870099999"
Melbourne,2022-04-03T07:00:00,14.8,14.8,12.7,87.04,0,0,rain,0,0,25.2,9.4,171,1016.9,0,24.1,12,0,0,10,Clear,clear-day,"95874099999,95936099999,94865099999,95866099999,F0862,94872099999,94870099999"
Melbourne,2022-04-03T08:00:00,15.1,15.1,13.2,88.26,0,0,rain,0,0,23.8,2.7,181,1017.3,0,24.1,62,0.2,1,10,Clear,clear-day,"95874099999,95936099999,94865099999,95866099999,F0862,94872099999,94870099999"
Melbourne,2022-04-03T09:00:00,15.6,15.6,13.4,86.53,0,0,rain,0,0,22,5.9,180,1017.3,4.8,9,193,0.7,2,10,Clear,clear-day,"95874099999,95936099999,94865099999,95866099999,F0862,94872099999,94870099999"
Melbourne,2022-04-03T10:00:00,16.8,16.8,13.2,79.51,0,0,rain,0,0,16.6,7.9,181,1016.8,0,24.1,176,0.6,2,10,Clear,clear-day,"95874099999,95936099999,94865099999,95866099999,F0862,94872099999,94870099999"
Melbourne,2022-04-03T11:00:00,16.8,16.8,12.8,77.05,0,0,rain,0,0,16.6,8.1,171,1016.4,0,24.1,120,0.4,1,10,Clear,clear-day,"95874099999,95936099999,94865099999,95866099999,F0862,94872099999,94870099999"
Melbourne,2022-04-03T12:00:00,16.8,16.8,13.2,79.29,0,0,rain,0,0,16.9,9.5,200,1015.7,5.6,3,84,0.3,1,10,Clear,clear-day,"95874099999,95936099999,94865099999,95866099999,F0862,94872099999,94870099999"
Melbourne,2022-04-03T13:00:00,16.8,16.8,14.4,85.43,0,0,rain,0,0,15.8,9.8,191,1014.8,0,24.1,267,1,3,10,Clear,clear-day,"95874099999,95936099999,94865099999,95866099999,F0862,94872099999,94870099999"
Melbourne,2022-04-03T14:00:00,17.3,17.3,13.9,80.56,0,0,rain,0,0,14.8,8.2,191,1014.1,0,24.1,105,0.4,1,10,Clear,clear-day,"95874099999,95936099999,94865099999,95866099999,F0862,94872099999,94870099999"
Melbourne,2022-04-03T15:00:00,17,17,14.4,84.49,0.03,100,rain,0,0,16.6,9.8,200,1013.7,5.7,5,90,0.3,1,10,Rain,rain,"95874099999,95936099999,94865099999,95866099999,F0862,94872099999,94870099999"
Melbourne,2022-04-03T16:00:00,17.6,17.6,13.9,79.26,0,0,rain,0,0,14,9.8,199,1013.4,0,24.1,84,0.3,1,10,Clear,clear-day,"95874099999,95936099999,94865099999,95866099999,F0862,94872099999,94870099999"
