,temp_air,wind_speed,ghi,dni,dhi,total_clouds,low_clouds,mid_clouds,high_clouds
2022-04-03 00:00:00-06:00,9.137695,1.5375254,0.0,0.0,0.0,1.2,0.0,1.2,0.0
2022-04-03 04:00:00-05:00,7.1514587,1.3415127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-03 07:00:00-05:00,5.520172,1.3772111,0.0,0.0,0.0,0.8,0.0,0.0,0.8
2022-04-03 10:00:00-05:00,28.25,1.2074889,445.0423407433906,427.786482391058,206.27684541265452,20.6,0.0,0.0,19.4
2022-04-03 13:00:00-05:00,39.113678,2.917374,713.688576975864,236.28272140873054,488.84300215542635,40.9,0.0,0.0,39.6
2022-04-03 16:00:00-05:00,37.21573,4.106785,596.3284190888563,254.24760407267334,391.2582312657463,39.5,0.0,0.0,38.9
2022-04-03 19:00:00-05:00,23.108795,4.3673663,101.42957275035886,114.65391501529923,77.5437699540571,31.9,0.0,0.0,31.2
2022-04-03 22:00:00-05:00,10.564941,1.5670748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-04 01:00:00-05:00,8.450012,2.048372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-04 04:00:00-05:00,6.8871155,2.1729872,0.0,0.0,0.0,0.6,0.0,0.0,0.6
2022-04-04 07:00:00-05:00,5.8128967,1.9038669,0.0,0.0,0.0,1.1,0.0,0.0,1.1
2022-04-04 10:00:00-05:00,26.581451,2.1039474,509.63866038831935,680.562599341757,127.81676677461496,2.0,0.0,0.0,1.7
2022-04-04 13:00:00-05:00,39.221405,5.5122213,951.6650996991759,661.8448861197822,320.6144557752258,3.4,0.0,0.0,2.9
2022-04-04 16:00:00-05:00,35.610077,7.002796,616.8415507863666,287.8081674736221,384.3897298083642,35.6,0.0,0.0,34.5
2022-04-04 19:00:00-05:00,21.184296,5.529563,88.01030631231617,52.21934905736003,77.07969016153957,48.5,0.0,0.0,47.0
2022-04-04 22:00:00-05:00,9.45285,2.4600391,0.0,0.0,0.0,73.3,0.0,0.0,72.5
2022-04-05 01:00:00-05:00,7.1842957,2.2596061,0.0,0.0,0.0,36.8,0.0,0.0,36.4
2022-04-05 04:00:00-05:00,6.0899353,2.1020436,0.0,0.0,0.0,1.9,0.0,0.0,1.7
2022-04-05 07:00:00-05:00,4.3842773,1.7288836,0.0,0.0,0.0,2.9,0.0,0.0,2.7
2022-04-05 10:00:00-05:00,26.284271,1.757547,466.53272130340866,483.4473927543261,193.92113843796227,15.5,0.0,0.0,14.2
