,temp_air,wind_speed,ghi,dni,dhi,total_clouds,low_clouds,mid_clouds,high_clouds
2022-04-03 02:00:00+08:00,29.837708,2.7862444,0.0,0.0,0.0,18.6,0.0,2.1,17.2
2022-04-03 05:00:00+08:00,29.882141,2.8469164,0.0,0.0,0.0,25.8,0.0,5.0,19.1
2022-04-03 08:00:00+08:00,29.828583,1.9374734,107.11614314146352,62.429670252155006,91.92741126272261,23.3,0.0,5.0,16.8
2022-04-03 11:00:00+08:00,30.149994,3.4814043,667.8834965137163,300.2284313606223,411.21894518353434,24.9,0.0,5.0,18.7
2022-04-03 14:00:00+08:00,30.437714,4.948219,813.7041489003512,380.4874336229026,446.3667208548942,18.5,0.0,2.9,14.6
2022-04-03 17:00:00+08:00,29.951447,5.116582,379.85089543749694,356.0802733978346,198.17517304531387,9.5,0.0,0.0,7.3
2022-04-03 20:00:00+08:00,29.82016,3.8405662,0.0,0.0,0.0,10.5,0.0,1.7,7.2
2022-04-03 23:00:00+08:00,29.850006,3.1874685,0.0,0.0,0.0,8.0,0.0,5.0,2.5
2022-04-04 02:00:00+08:00,29.850006,2.7866697,0.0,0.0,0.0,10.1,0.0,5.4,3.8
2022-04-04 05:00:00+08:00,29.850006,2.2458694,0.0,0.0,0.0,10.8,0.0,5.0,5.0
2022-04-04 08:00:00+08:00,29.779388,3.6274524,118.67759275350434,103.88185503268554,93.2926937109926,10.4,0.0,5.0,4.6
2022-04-04 11:00:00+08:00,30.181458,3.653783,741.3227391864026,463.73530528175155,344.83001545716843,10.7,0.0,3.4,6.6
2022-04-04 14:00:00+08:00,30.715729,3.4192834,868.3156434567347,464.47860194178753,420.32176826665955,9.2,0.0,3.7,5.0
2022-04-04 17:00:00+08:00,30.950012,2.0280018,398.7924835256596,425.7888347688999,182.15169426728835,1.7,0.0,1.7,0.0
2022-04-04 20:00:00+08:00,30.174622,0.8338555,0.0,0.0,0.0,5.4,0.0,2.9,2.5
2022-04-04 23:00:00+08:00,29.931305,1.4668019,0.0,0.0,0.0,12.6,0.0,5.0,7.4
2022-04-05 02:00:00+08:00,29.931305,1.7683069,0.0,0.0,0.0,11.9,0.0,5.0,6.5
2022-04-05 05:00:00+08:00,29.931305,2.0095086,0.0,0.0,0.0,66.8,0.0,5.0,64.6
2022-04-05 08:00:00+08:00,29.907684,1.7052224,84.02363760178791,0.19489866189612962,83.97580750843794,53.1,0.0,2.5,51.7
2022-04-05 11:00:00+08:00,30.649994,1.6246244,380.7989462210136,33.27472776104784,352.3472278113668,80.3,0.0,0.0,79.2
2022-04-05 14:00:00+08:00,31.550018,2.4651966,467.7903407528636,42.29280822295832,427.0394874033813,75.8,0.0,0.0,74.7
2022-04-05 17:00:00+08:00,30.79065,2.7808492,140.5728342691768,0.0,140.5728342691768,100.0,0.0,0.0,100.0
